Title,Description
Senior Python Backend Engineer,"<b>What are we doing?</b><br>Develux is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on the market since 2014 and has achieved perfect results in our four business units. We have 350+ goal-oriented, passionate specialists who are open to new challenges.<br><br><b>How old is the project? What stage is it at?</b><br>We are in the ed-tech space helping hundreds of thousands of students deal with academic hurdles and questions. We have been around since 2014, overgrowing every year. Furthermore, we are currently working on expanding the functionality of our product, all while focusing on improving customer experience and increasing our financial metrics.<br>Our company is a B2B2C educational platform that provides academic paper writing services. Our clients can choose the type of work, set requirements and deadlines, and choose the author. In addition, online chat allows customers and authors to communicate with each other to clarify.<br>We also provide services for checking papers for plagiarism, editing and correcting text, and training and advice on improving research paper writing skills. Our team of writers consists of only the best experts, who are rigorously screened and constantly improve their skills.<br>Our platform also provides the opportunity to receive feedback from authors and ask for technical support and help in choosing the best work.<br>We constantly improve our platform and services to provide our customers with the highest convenience and quality.<br>Our support team is always available to help customers with any questions regarding our platform. We strive to ensure that our clients have only a positive experience with us and recommend us to their friends and colleagues.<br><br><b>What do you need to do?</b><br>- Write clean and well-structured code that is easy to read and maintain.<br>- Use version control to manage code changes and collaborate with other developers.<br>- Follow security best practices when handling sensitive data or user information.<br>- Use automated testing tools to ensure code quality and reduce the risk of bugs.<br>- Document your code and write clear and concise comments.<br>- Use modular design principles to make your code more flexible and reusable.<br>- Stay up-to-date with the latest industry trends and technologies.<br>- Use design patterns and best practices to make your application more maintainable and extensible.<br><br><b>Technologies:</b><br>Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWS<br><br><b>Work experience:</b><br>- 4+ years of commercial experience with Python 3;<br>- 1+ years of experience with designing, implementing REST API (DRF, Fast API);<br>- Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);<br>- Experience working on Linux, Docker;<br>- Clear understanding of high-quality code, unit testing, software design and design patterns;<br>- Exceptional problem-solving, technical and data analysis skills;<br>- Experience with Scrum/Agile methodology, CI/CD.<br>- Qualities: Star performer, Team player, Fast, Strong ownership<br><br><b>Additional hard skills:</b><br>- Some experience with Elasticsearch;<br>- Experience with Kubernetes, Clouds(AWS/GCP)<br><br><b>Questions and Answers:</b><br>- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.<br>- What is the expected work schedule?<br>Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.<br>- How many vacation and sick days are provided?<br>Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.<br><br><b>What social package and benefits are offered?</b><br>- English courses (up to 80 USD/month after successful completion of the probation period)<br>- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)<br>- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care<br>- Corporate events<br><br><b>Hiring process:</b><br>- HR-call with Recruiter (1 hour)<br>- Technical interview with the Hiring manager (1 hour)<br>- Trial day (paid)<br>- Proposal for cooperation with Develux<br><br><b>We believe that people with different perspectives and lived experiences drive the company to create unique solutions.</b>"
Senior Python Developer,"Наша компанія, The Frontend Company, росте та прагне знайти в команду ще більше талановитих людей. Тому, WELCOME до нашого затишного web development світу!<br><br><b>Ми шукаємо Senior Python Developer для нашого нового проекту</b><br><br><b>Основні вимоги</b> :<br>- Good verbal and written communication skills in English (no less than upper-intermediate);<br>- 3+ years of experience in software engineering;<br>- Strong proficiency in Backend: Python, Graphql, AWS DynamoDB, AWS Lambda & ECS;<br>- Strong AWS DynamoDB experience is MUST!<br>- Basic in Frontend: ReactJS / Apollo Graphql Client.<br><br><b>Про проект</b> :<br><b>Location</b> : United States<br><b>Size</b> : 11-50<br><b>Description</b> : a company is a modern end-to-end platform for appointment/class-based personal services businesses. One online solution to manage all your customers, staff, services, schedules, invoices, and subscriptions. They have a lot of users live.<br><b>Specialties</b> : Personal service businesses, CRM, Scheduling, Self-booking, invoicing, subscriptions, and Marketing.<br><b>Team</b> : they have 3 engineers working closely in a team, and his CEO who will be main contact person.<br><b>А comment from the client</b> : ""I might need a bit of architectural experience. We need someone who will be a part of our project full-time. Ability to work efficiently within a team setting, as well as being self-motivated and able to work independently. Strong verbal and written communication skills, and a stable internet connection is required. Fully remote - but daily overlap with US 10 am PST - 2 pm PST timezone is required"" (!).<br><br><b>Етапи відбору на цю вакансію</b> :<br>1. ознайомча HR співбесіда;<br>2. невеличке тестове завдання (від клієнта);<br>3. технічна співбесіда;<br>4. співбесіда-знайомство з клієнтом.<br><br><b>Чому з нами тобі буде круто?</b><br>- надаємо дійсно 100% remote без необхідності щодня/щомісяця бути в офісі;<br>- у нас мега-гнучкий графік з 40-годинним робочим тижнем (ти можеш працювати тоді, коли тобі зручно, головне підлаштовуватись під міти);<br>- ми довіряємо нашим працівникам, тому не використовуємо тайм-трекери, які скрінять екран і т.д.;<br>- progress сalls двічі на рік без необхідності нагадувати про rate review керівництву;<br>- виплачуємо 13 ЗП;<br>- можливість безмежного кар'єрного зросту та code review, тому що наші розробники мають багатий комерційний досвід та відкриті для зворотного зв'язку;<br>- з додаткових плюсів в нас є проплачений акаунт на Udemi і відшкодування за платні професійні курси, персональна карта професійного зросту та навчання;<br>- беремо на себе усе, що пов'язано з фінансами, вашою технікою та іншою бюрократією (тобі не потрібно морочитися з ФОПами (наш бухгалтер зробить все за тебе), кількістю ноутів для роботи чи займатись обліковими моментами). А ще, компанія повністю бере на себе всі витрати по підприємцю, тому домовляємось про чисту ЗП;<br>- ніяких токсиків, бо ми цінуємо здорові відносини між колегами й психологічний комфорт команди (ми приділяємо багато уваги soft skills, щоб усі могли домовитися один з одним без негативу).<br><br><b>Ми з тобою одного коду і ти відчуваєш, що ми ідеальна пара?<br>Тоді не зволікай та надсилай своє CV</b>"
Python developer / strong junior,"<b>Необхідні навички:</b><br>- Досвід в IT компанії на Python - від 1+ року;<br>- Знання фреймворку Django;<br>- Впевнене знання Python3;<br>- Відмінне знання мови програмування Python;<br>- Досвід вирішення завдань, пов'язаних з асинхронним програмуванням.<br><br><b>Обов'язки:</b><br>- Проектування і розробка нових та існуючих проектів;<br>- Розробка API для клієнтських додатків і сервісів;<br>- Участь в оцінюванні проєктів;<br>- Відповідальність за свою роботу.<br><br><b>Буде плюсом:</b><br>- Знання AWS;<br>- Досвід роботи з noSQL.<br>- Розмовна Англійська.<br><br><b>Ми пропонуємо:</b><br>- П'ятиденка, 8 годинний робочий день;<br>- Відпустка 2+ тижні від Вашого середньорічного результату роботи;<br>- Гнучкий графік, будь-який день можна зробити днем відпочинку (вирішили питання лікарняних і на ""свій рахунок"") або ще однією відпусткою :)<br>- Гідна заробітна плата, яка розраховується відповідно до ваших результатів відповідно до ваших знань та досвіду;<br>- Індексація заробітної плати відповідно до результатів роботи, оплачувані овертайми."
Python Lead,"<b>Job Description</b><br><br>Our client - a SaaS platform for managing expert networks that helps make better decisions is looking for a skillful <b>Python Lead</b> to join their team in <b>Kyiv</b>.<br><br><b>About the company</b><br><br>This platform provides a comprehensive primary research and expert networking service to institutional investors, consultants and corporate clients around the world. Its advantage is the speed and accuracy, it delivers actionable intelligence and relevant experts to the customers, giving them the edge they need to achieve their commercial ambitions. This is made possible by technology which is driven by artificial intelligence, separating this platform from other providers of market information.<br><br>The company was founded in 2018 in London and currently has 4 offices around the world, including the new one in Lisbon.<br><br><b>About the role</b><br><br>We are seeking a highly skilled and experienced Software Engineer with a strong background in Python and expertise in designing, developing, implementing, and maintaining production services on AWS. The ideal candidate should have a minimum of 5 years of experience in software engineering and a solid understanding of advanced design concepts such as message queues, SQL vs NoSQL databases, and high-loaded service availability.<br><br>In this role, you will have a critical impact on the business, working on various revenue generation streams and contributing to our technological USP’s. You will be responsible for leading the technical advancement for key strategic business work stream including the market-leading survey platform, transcription services and GenAI projects, surveys and transcription services and will work closely with different stakeholders to ensure the delivery of high-quality tech designs. The ability to effectively manage and oversee multiple Python services within a large system is essential. You should also be comfortable being involved with the business side of operations and be excited about the interesting challenges this role presents.<br><br>If you are a motivated and experienced Software Engineer who enjoys leading a team, driving technical innovation, and making a significant impact on a growing organisation, we would love to hear from you.<br><br><b>Responsibilities:</b><br><br>- Act as a technical lead in a product squad, actively participating and leading various agile ceremonies such as grooming and planning sessions as well as code reviews <br>- Lead a team of software engineers and provide technical guidance and mentorship <br>- Collaborate with stakeholders to understand business requirements and translate them into technical solutions <br>- Design, develop, and maintain scalable and high-performance production services on AWS <br>- Ensure the quality and reliability of the software through thorough testing and code reviews <br>- Stay up to date with industry trends and best practices, and drive the adoption of new technologies and methodologies <br>- Manage and prioritize multiple projects, balancing technical requirements and business impact<br><br><b>Qualifications</b><br><br><b>Requirements</b><br><br>- 2+ years of experience in team leadership, managing and mentoring junior team members <br>- Minimum 5 years professional software development experience, prominently utilising Python as the primary language, within a commercial setting <br>- Experience working with Postgres  <br>- Familiarity with advanced design concepts <br>- Upper Intermediate/Advanced level of English or higher<br><br><b>Why is This a Great Opportunity</b><br><br><b>Benefits</b><br><br>- Generous uncapped commission scheme  <br>- Hybrid working (a maximum of 3 days in the office)  <br>- Up to €8 meal voucher per day  <br>- Tenure Gifts - Vouchers, extra holiday and sabbaticals for each year of employment including a 4-week paid sabbatical after 3 years of employment <br>- Enhanced Maternity & Paternity pay  <br>- Enhanced sick pay (up to 10 days per year)  <br>- Team outings- From quarterly gatherings to our annual winter & Summer parties, we love to celebrate, collaborate and have fun together!"
Middle Python Developer,"<b>REQUIRED SKILLS:</b><br>- 2+ years experience with Python, Django or Flask;<br>- Knowledge of SQL and NoSQL databases;<br>- Knowledge of Docker;<br>- Understanding of the HTTP protocol and RESTful APIs;<br>- Command of Linux/UNIX environment (shell, scripting, tools);<br>- Passionate about Testing (Unit and Integration Testing);<br>- Upper Intermediate Russian or Ukrainian;<br>- Upper Intermediate + English.<br><br><b>A PLUS:</b><br>- Knowledge of one of the modern frameworks such as Angular / ReactJS / Vue;<br>- Knowledge of Kubernetes.<br><br><b>YOUR BENEFITS:</b><br>- Extensive experience and remote work possibilities;<br>- Hands-on training support;<br>- Paid vacation and sick days;<br>- Insurance compensation;<br>- Partial compensation of gym membership, English courses, books, materials for developing etc.;<br>- Unique company that is focused on the solutions development for specific business niches;<br>- Opportunity to get more experience with events, conferences, seminars, master classes and training at the company’s expense;<br>- Best management and team support: we are always happy to hear from colleagues about their business & technology ideas;<br>- Opportunity to implement your ideas on our internal projects;<br>- Regular salary revision.<br><br><b>RESPONSIBILITIES:</b><br>- Development of components and applications in Python / Django;<br>- Maintenance of existing applications;<br>- Tasks estimation;<br>- Writing technical documentation and reports.<br><br><b>Please note that the vacancy now has a requirement to do a test task, if not ready to perform, please do not respond.</b>"
Senior Python/Django Engineer,"<b>Apexive</b> is a premier software studio that creates top-notch technology for startups.<br><br>We have a remote-first culture, and this position can be based anywhere. We encourage you to work in the way that best suits you. The company is led by a software architect (the founder actually codes), so you’ll never feel like a cog in the machine. Everyone has the chance to make decisions that steer the company as a whole.<br><br>While we are technology agnostic and believe in using the right tools for a given challenge, we are experts in cutting-edge frameworks and platforms, such as Flutter/Dart, Google Cloud Platform/AWS/Kubernetes, Python/Django, and Terraform, to name very a few. This is a full-time position.<br><br>For this role, we are considering candidates who are remote-based. Apexive offers different work modes to meet the variety of needs and preferences of our team. Learn more about our engineering philosophies, tools, and some of the challenges we’ve been solving on our Engineering blog.<br><br><b>What You’ll Do:</b><br><br>- Develop and maintain Backend solutions using Python/Django<br>- Build docker images that can run on top of AWS or other PaaS<br>- Model databases using MySQL, Postgres, DynamoDB<br>- Understand the needs of our clients and come up with solutions for their problems<br>- Taking an active part in our learning and knowledge-sharing culture<br><br><b>Skills We’re looking for:</b><br><br>- 3+ years of Python/Django experience<br>- Experience with RESTful backend applications, specially built with Django<br>- An inability to write anything but clean, maintainable code.<br>- Strong aversion to hard code<br>- Experience with deployment processes like AWS, Heroku<br>- Being up-to-date with the latest news and technologies about the Backend<br>- High English proficiency as our company language is English<br>- Ability to work independently<br>- Alignment with our values, including get things done attitude<br><br>We’re looking for people who are passionate about building tech for startups and do not afraid of challenges!<br><br><b>Nice to have:</b><br><br>- UI/UX feeling<br>- Docker, CircleCI<br>- Terraform, Odoo<br>- Basic knowledge of frontend<br>- Contributions to open-source projects<br><br><b>Perks & Benefits</b><br><br>💰 Competitive compensation<br>📈 Equity options<br>💻 Work with the latest tech stack and top startups from various industries<br>🏖️ Offsite week in Thailand full of adventures — all expenses paid<br>🧳 Flexible work hours and truly remote work culture<br>🧗‍♂️ Work From Anywhere<br>👫 Mentorship program — get a mentor and become one<br>📚 Conferences, meetups, language lessons, and seminars to support personal growth<br><br><b>Our Hiring Process</b><br><br>1. Apply and share a fragment of your recent code using Bloc/Cubit and any other modern libraries (such as reactive_forms, firebase, etc.) that you are proudest of. Please note that it should be the specific project/repository, not just your whole GH/GL profile. We would really appreciate it if you could take this step seriously, as we base our decision on moving forward with the candidate solely on what you send us, and we do not give a benefit of the doubt at this stage.<br><br><b>Note: If this code is in the private repository, please share access rights with adar2378 (Frontend lead) or eugapx (Backend lead)</b><br><br>2. Cultural fit interview (up to 30 minutes)<br><br>3. Technical discussion (up to 1 hour)<br><br>4. Technical take-home test assignment (up to 2-3 hours)<br><br>5. Review of the take-home assignment (up to 1 hour)<br><br>Welcome aboard!"
Middle Python Developer,"Requirements:<br>• 3+ years of commercial experience with Python<br>• Solid experience with PySpark<br>• Experience with AWS and their data services<br>• Strong knowledge of data modeling, data warehousing, and ETL pipeline construction<br>• Experience in problem-solving and attention to detail<br>• Perfect communication skills<br><br>Is good to have:<br>- Understanding of OOP concepts<br>- Understanding of coding algorithms such as recursion, data transformation, and manipulation<br>- Good English speaking<br>- Experience in SSR<br><br>That's what you should do:<br>- Work directly with the core development team<br>- Implement new and maintain existing web features and solutions<br>- Review existing code and recommend refactoring where applicable<br>- Research and solve problems using internet search, vendor support, and other external resources<br>- Perform all the necessary tasks efficiently meeting deadlines<br>- Fill in the tracking systems of the client and the company<br><br>That's what we offer to you:<br>- Fast growth of seniority level with a unique plan<br>- Ability to work remotely, flexible working hours<br>- Education (courses, training materials, etc.)<br>- 12 days of paid vacation and 12 days of sick leave<br>- State holidays, according to the legislation of Ukraine<br><br>So please don't waste your time, write to us, and let's create some cool things together! :)"
Python (Django) Engineer,"The ideal candidate should possess a proactive mindset and a strong aptitude for addressing intricate challenges.<br><br>Technical Qualifications:<br>5+ years of experience in software development with Python and Django.<br>Strong experience with DRF, REST, Git, Postgresql<br><br>Optional experience: React, Yocto <br><br>Professional Skills:<br>Demonstrated ability to write clean, maintainable, and efficient code.<br>Strong problem-solving skills and the willingness to dive into challenging problems.<br><br>We offer:<br>1. 100% remote work opportunity and flexitime — choose working hours between 8:00-20:00.<br>2. Everything to provide a good rest: paid vacation, national holidays, sick leaves.<br>3.Regular feedback, mentorship, code review. Friendly and professional team that supports you. <br>4.No bureaucracy — transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently."
Python developer,"Python developer<br>2500-3000 $<br>🔎 We are looking for a talented Python developer to join our growing remote team. <br>You will have the opportunity to:<br>🔹Work on various e-commerce projects and see amazing e-stores growing from the ground up, thanks to you.<br>🔹Get the mentorship of our experienced developers and develop your professional and personal skills.<br>🔹Get to know our amazing team members hailing from four different countries. Join our incredibly collaborative work environment, where we ensure everyone feels heard and valued by embracing and welcoming a diversity of viewpoints.<br>What are your strongest skills:<br>🔹Back-end:<br>-Python (Django, Celery, SQLAlchemy), scrapping experience would be a plus<br>-Node.js (Nest.js or Fastify would be a plus) + TypeScript<br>-PostgreSQL/MySQL, Redis<br>-Docker, AWS, Cloudflare<br>🔹Front-end:<br>-Vanilla JS (React + TypeScript would be a plus)<br>🔹CMS:<br>-Shopify would be a plus<br>🔹Experience:<br>3+ years of commercial experience<br>🔹Responsibilities:<br>-Development of scrappers and Shopify apps<br>-Act as the architect, introducing and implementing best engineering practices<br>-Review existing codebase and propose refactoring where needed<br>🔹Personal requirements:<br>-Effective communication + Proactivity<br>(Demonstrate a proactive approach by openly discussing issues and questions. Actively seek assistance when needed and prioritize clear and timely communication within the team.)"
Senior Python Developer,"Open to remote candidates, with the ability to travel to the client's site in Germany.<br><br><b>Experience</b>: 5+ years<br><br><b>Job Type</b>: Full-time, Long-term<br><b>English</b>: Upper-Intermediate<br><br><b>Project:</b><br>A fast-growing impact start-up revolutionizing the market of used electric vehicles (EV). Our platform provides seamless access to electric mobility, empowering customers to make the switch to a more sustainable lifestyle.<br><br><b>Responsibilities:</b><br><br>-Develop our next-level tech stack from scratch<br>-Integrate 3rd party APIs of product and sales partners into our workflows<br>-Create a robust data structure to facilitate growth at scale<br>-Host microservices in the cloud for optimal performance<br>-Support low-code frontend development using bubble.io<br><br><b>Requirements:</b><br><br>-Builder mindset with a passion for creating impact<br>-Commitment to finding the best and fastest implementation, with or without code<br>-Proven experience developing tech stacks from inception<br>-Contributions to various software projects<br>-Implementation of Rest APIs and database setup"
